index,cos_value
1370,0.49689704
1371,0.49623129
1372,0.49556527
1373,0.49489892
1374,0.49423230
1375,0.49356538
1376,0.49289820
1377,0.49223068
1378,0.49156290
1379,0.49089482
1380,0.49022648
1381,0.48955780
1382,0.48888886
1383,0.48821965
1384,0.48755014
1385,0.48688033
1386,0.48621026
1387,0.48553988
1388,0.48486921
1389,0.48419827
1390,0.48352703
1391,0.48285553
1392,0.48218372
1393,0.48151165
1394,0.48083928
1395,0.48016664
1396,0.47949371
1397,0.47882050
1398,0.47814712
1399,0.47747332
1400,0.47679928
1401,0.47612494
1402,0.47545034
1403,0.47477543
1404,0.47410026
1405,0.47342479
1406,0.47274905
1407,0.47207305
1408,0.47139677
1409,0.47072020
1410,0.47004336
1411,0.46936625
1412,0.46868885
1413,0.46801117
1414,0.46733323
1415,0.46665502
1416,0.46597651
1417,0.46529773
1418,0.46461871
1419,0.46393937
1420,0.46325979
1421,0.46257994
1422,0.46189979
1423,0.46121940
1424,0.46053872
1425,0.45985776
1426,0.45917654
1427,0.45849505
1428,0.45781329
1429,0.45713127
1430,0.45644897
1431,0.45576641
1432,0.45508358
1433,0.45440048
1434,0.45371711
1435,0.45303348
1436,0.45234957
1437,0.45166540
1438,0.45098096
1439,0.45029625
1440,0.44961131
1441,0.44892606
1442,0.44824058
1443,0.44755483
1444,0.44686881
1445,0.44618252
1446,0.44549596
1447,0.44480917
1448,0.44412211
1449,0.44343477
1450,0.44274718
1451,0.44205934
1452,0.44137120
1453,0.44068295
1454,0.43999434
1455,0.43930542
1456,0.43861628
1457,0.43792689
1458,0.43723720
1459,0.43654731
1460,0.43585712
1461,0.43516669
1462,0.43447599
1463,0.43378505
1464,0.43309385
1465,0.43240240
1466,0.43171069
1467,0.43101871
1468,0.43032649
1469,0.42963403
1470,0.42894131
1471,0.42824835
1472,0.42755511
1473,0.42686164
1474,0.42616791
1475,0.42547393
1476,0.42477968
1477,0.42408520
1478,0.42339048
1479,0.42269549
1480,0.42200026
1481,0.42130479
1482,0.42060906
1483,0.41991311
1484,0.41921687
1485,0.41852042
1486,0.41782370
1487,0.41712674
1488,0.41642955
1489,0.41573209
1490,0.41503441
1491,0.41433647
1492,0.41363829
1493,0.41293988
1494,0.41224119
1495,0.41154230
1496,0.41084313
1497,0.41014373
1498,0.40944412
1499,0.40874425
1500,0.40804413
1501,0.40734378
1502,0.40664318
1503,0.40594235
1504,0.40524128
1505,0.40453994
1506,0.40383840
1507,0.40313661
1508,0.40243471
1509,0.40173244
1510,0.40102994
1511,0.40032721
1512,0.39962426
1513,0.39892104
1514,0.39821759
1515,0.39751393
1516,0.39681002
1517,0.39610589
1518,0.39540151
1519,0.39469692
1520,0.39399207
1521,0.39328700
1522,0.39258170
1523,0.39187616
1524,0.39117041
1525,0.39046443
1526,0.38975820
1527,0.38905174
1528,0.38834506
1529,0.38763815
1530,0.38693100
1531,0.38622364
1532,0.38551605
1533,0.38480824
1534,0.38410020
1535,0.38339192
1536,0.38268343
1537,0.38197470
1538,0.38126576
1539,0.38055658
1540,0.37984720
1541,0.37913758
1542,0.37842774
1543,0.37771767
1544,0.37700740
1545,0.37629688
1546,0.37558615
1547,0.37487522
1548,0.37416404
1549,0.37345263
1550,0.37274104
1551,0.37202922
1552,0.37131715
1553,0.37060490
1554,0.36989242
1555,0.36917970
1556,0.36846679
1557,0.36775365
1558,0.36704031
1559,0.36632672
1560,0.36561295
1561,0.36489895
1562,0.36418474
1563,0.36347041
1564,0.36275578
1565,0.36204091
1566,0.36132586
1567,0.36061057
1568,0.35989508
1569,0.35917938
1570,0.35846347
1571,0.35774735
1572,0.35703099
1573,0.35631445
1574,0.35559770
1575,0.35488072
1576,0.35416356
1577,0.35344616
1578,0.35272858
1579,0.35201079
1580,0.35129279
1581,0.35057455
1582,0.34985614
1583,0.34913751
1584,0.34841868
1585,0.34769964
1586,0.34698042
